Startup,Industry,TotalFunding,Status,Country,City,FundingRounds,FoundedAt,FirstFundingAt,LastFundingAt,StatusCode
Immigration Overseas Reviews cherishes of No Complaints,,-,closed,IND,New Delhi,1,01-01-1990,10-09-1993,10-09-1993,1
Impartus Innovations,Education,4099999,operating,IND,Haryana,1,01-01-2013,02-02-2015,02-02-2015,0
Inayo,Internet,300000,operating,IND,Mumbai,1,01-01-2015,09-10-2015,09-10-2015,0
Inc42,Media,-,operating,IND,New Delhi,1,01-01-2014,08-01-2014,08-01-2014,0
Incap,Manufacturing,2587000,operating,IND,Bangalore,1,,26-11-2008,26-11-2008,0
InCights Mobile Solutions,Software,160000,operating,IND,Hyderabad,1,01-01-2010,13-11-2013,13-11-2013,0
Incredible Technologies (CredR),Automotive,15000000,operating,IND,Mumbai,1,01-01-2014,11-09-2015,11-09-2015,0
India Online Health,Medical,-,operating,IND,Pune,1,18-08-2011,18-02-2014,18-02-2014,0
India Orders,E-Commerce,-,operating,IND,Mumbai,1,,09-07-2013,09-07-2013,0
India Property Online,E-Commerce,19000000,operating,IND,Chennai,2,01-01-2012,09-05-2013,19-12-2013,0
IndiaEver.com,Classifieds|Music,20000,closed,IND,New Delhi,1,01-08-2012,13-09-2012,13-09-2012,1
IndiaHomes,Curated Web,75776000,operating,IND,New Delhi,3,,16-04-2014,27-08-2015,0
IndiaIdeas,Finance|FinTech,7500000,operating,IND,Ahmedabad,1,,22-06-2006,22-06-2006,0
IndiaLends,Financial Services,1000000,operating,IND,New Delhi,2,01-01-2014,07-07-2015,05-10-2015,0
IndiaMART,B2B|E-Commerce|Marketplaces|Services,-,operating,IND,Noida,1,01-04-1996,14-01-2009,14-01-2009,0
IndiaMLS,Real Estate,1000000,operating,IND,Mumbai,1,,24-07-2015,24-07-2015,0
IndianRoots,Designers|E-Commerce|Fashion|Online Shopping,10000000,operating,IND,Gurgaon,2,01-01-2013,07-09-2014,14-05-2015,0
IndianStage,Photography,-,operating,IND,Bangalore,1,,17-02-2014,17-02-2014,0
Indifi Technologies,,-,operating,IND,Gurgaon,1,,01-10-2015,01-10-2015,0
Indium Software Inc.,Software,1000000,operating,IND,Chennai,1,,21-04-2006,21-04-2006,0
Indulge Beverages,Lifestyle|Restaurants|Specialty Foods,2000000,operating,IND,New Delhi,1,01-01-2012,09-04-2015,09-04-2015,0
Indus Insights,Analytics|Big Data Analytics|Business Analytics|E-Commerce|Financial Services|Predictive Analytics,-,operating,IND,Haryana,1,01-01-2009,05-08-2014,05-08-2014,0
IndusDiva.com,E-Commerce,-,operating,IND,Bangalore,2,01-01-2012,09-07-2013,01-01-2014,0
Industrybuying,Business Services|Distributors|E-Commerce|Industrial|Online Shopping|Shopping|Supply Chain Management|Wholesale,11000000,operating,IND,New Delhi,2,,25-02-2015,10-09-2015,0
Infinity Assurance Solutions,Information Technology,600000,operating,IND,New Delhi,1,01-01-2013,11-07-2015,11-07-2015,0
infoBizz,Software,-,operating,IND,Meerut,1,07-11-2008,07-11-2013,07-11-2013,0
Infogile Technologies,Software,20000,operating,IND,Gurgaon,1,04-05-2007,04-05-2007,04-05-2007,0
Infrasoft Technologies,Software,24800000,ipo,IND,Mumbai,1,01-01-1994,11-07-2007,11-07-2007,2
InI Farms,Farming,3200000,operating,IND,Mumbai,1,01-01-2009,30-03-2015,30-03-2015,0
Inkmonk,E-Commerce|Fashion|Marketplaces|Printing,250000,operating,IND,Chennai,1,01-01-2013,10-08-2015,10-08-2015,0
Inner Chef,Cooking,1660000,operating,IND,Gurgaon,1,,24-09-2015,24-09-2015,0
Innovis,Telecommunications,-,operating,IND,Gurgaon,1,01-01-2009,12-12-2011,12-12-2011,0
Innoviti,Finance,6600000,operating,IND,Bangalore,2,01-01-2002,20-03-2014,20-07-2015,0
Innoz,Apps|Mobile|Search,-,operating,IND,Bangalore,1,15-09-2008,01-04-2012,01-04-2012,0
InOpen,Education,-,operating,IND,Mumbai,2,01-10-2009,01-08-2011,24-11-2013,0
Inquirly,SaaS|Software,200000,operating,IND,Bangalore,1,01-07-2013,10-12-2013,10-12-2013,0
Insightwall Technology Solutions,Security|Software,-,operating,IND,Bangalore,1,19-09-2014,19-09-2014,19-09-2014,0
Roder - formerly InstaCab,Customer Service|Marketplaces|Taxis|Transportation,350000,operating,IND,Delhi,1,01-08-2014,09-09-2015,09-09-2015,0
Instaclique,Curated Web,30000,operating,IND,Pune,1,,01-02-2014,01-02-2014,0
Instahealth,Software,1308756,acquired,IND,Bangalore,1,01-01-2008,01-04-2009,01-04-2009,2
InstaLively,Information Technology,120000,operating,IND,New Delhi,1,01-01-2014,02-03-2015,02-03-2015,0
Instamedia,Curated Web|Media,4000000,operating,IND,Shimla,1,01-08-2006,09-09-2010,09-09-2010,0
Instamojo,Finance|Marketplaces|Payments|Social Commerce,500000,operating,IND,Mumbai,3,01-09-2012,01-07-2012,13-11-2014,0
InstaSafe,Network Security|Security,-,operating,IND,Bangalore,2,01-10-2012,11-08-2014,26-08-2015,0
Instavans,Internet,2000000,operating,IND,Bangalore,2,26-02-2015,17-08-2015,30-10-2015,0
inTarvo,Consulting|Outsourcing,21900000,operating,IND,Noida,2,01-01-1995,16-10-2007,17-09-2009,0
IntelleGrow Finance,Finance,4500000,operating,IND,Mumbai,1,01-01-2010,05-03-2014,05-03-2014,0
Threadsol Softwares Pvt. Ltd.,Software,200000,operating,IND,Noida,1,01-01-2012,09-02-2014,09-02-2014,0
Intepat IP Services,Consulting|Finance|FinTech|Identity|Legal,10000,operating,IND,Bangalore,1,,01-09-2009,01-09-2009,0
InterpretOmics,Analytics,1600000,operating,IND,Bangalore,1,16-08-2009,13-08-2013,13-08-2013,0
Interview Master,Curated Web|Human Resources|Recruiting,-,operating,IND,Bangalore,3,01-05-2012,09-01-2013,30-01-2014,0
iNurture,Education,4897824,operating,IND,Bangalore,1,01-01-2005,30-10-2014,30-10-2014,0
InvenZone,Artificial Intelligence|Internet|Semantic Search|Social Media Platforms,-,operating,IND,Mumbai,1,26-08-2013,29-05-2014,29-05-2014,0
Invictus Oncology,Biotechnology,1880000,operating,IND,Delhi,1,01-01-2011,28-05-2013,28-05-2013,0
iOrder Fresh,Apps,-,operating,IND,Delhi,1,01-01-2014,07-08-2015,07-08-2015,0
iPG Maxx Entertainment India (P) Ltd,Entertainment|Film|Film Distribution|Film Production,500000,closed,IND,,1,07-04-2014,15-05-2014,15-05-2014,1
iPolicy Networks,Security,44000000,operating,IND,Noida,2,,04-10-2005,01-01-2006,0
iProf Learning Solutions,Education,15000000,operating,IND,Noida,2,01-01-2009,01-03-2011,23-01-2014,0
IQLECT,Analytics|Big Data|Real Time,2000000,operating,IND,Bangalore,1,01-11-2012,21-07-2015,21-07-2015,0
iReff,Apps,-,operating,IND,,1,01-01-2013,17-01-2014,17-01-2014,0
iShippo,Apps|E-Commerce|Handmade|Marketplaces|Mobile Commerce|Mobile Payments,-,operating,IND,Bangalore,1,13-04-2015,16-07-2015,16-07-2015,0
iSTAR,Education,1506705,operating,IND,Bengaluru,3,01-01-2009,10-04-2013,09-11-2015,0
iTiffin,Health Care,1000000,operating,IND,Bangalore,1,01-01-2013,28-08-2014,28-08-2014,0
iTraveller,Travel,1000000,operating,IND,Bangalore,1,01-01-2011,16-02-2015,16-02-2015,0
Ittiam Systems (Pvt),Enterprise Software,6500000,operating,IND,Bangalore,1,01-01-2001,08-12-2004,08-12-2004,0
ItzCash Card Ltd.,Gift Card,25000000,operating,IND,Mumbai,2,01-01-2006,12-10-2007,02-09-2014,0
Ivy Health and Life Sciences,Health and Wellness,12100000,operating,IND,Mohali,1,01-01-2007,11-06-2013,11-06-2013,0
ixigo.com,Hotels|Mobile|Online Travel|Search|Travel|Travel & Tourism,-,acquired,IND,Gurgaon,2,03-06-2006,01-02-2008,01-02-2008,2
iYogi,Computers|Hardware + Software|Information Technology|Tech Field Support,85600000,operating,IND,Gurgaon,5,01-01-2007,01-01-2007,08-05-2014,0
iZofy.com,E-Commerce|Internet|Marketplaces,250000,operating,IND,Kolkata,2,15-12-2014,15-12-2014,24-08-2015,0
J Kumar Infraprojects,Real Estate,22800000,operating,IND,Mumbai,1,01-01-1980,24-07-2014,24-07-2014,0
Jabong.com,Beauty|Fashion|Jewelry|Online Shopping|Shoes|Toys,27500000,ipo,IND,Gurgaon,1,01-01-2012,05-02-2014,05-02-2014,2
Jack On Block,,-,operating,IND,Bangalore,1,01-01-2012,10-04-2013,10-04-2013,0
Janalakshmi,Finance|FinTech,85000000,operating,IND,Bangalore,2,01-01-2006,14-08-2013,11-08-2015,0
Jay Robotix,Industrial Automation,250000,operating,IND,Hyderabad,1,01-01-2010,28-04-2015,28-04-2015,0
Jaypore,E-Commerce|Marketplaces,375000,operating,IND,New Delhi,1,04-01-2012,04-09-2011,04-09-2011,0
JBF,Industrial|Manufacturing|Textiles,150000000,operating,IND,Mumbai,1,01-01-1982,31-07-2015,31-07-2015,0
JBR Interio,Design|Interior Design,2500000,operating,IND,Hyderabad,2,01-01-2014,02-02-2015,27-05-2015,0
Jeeves,Hardware + Software,-,operating,IND,Bangalore,1,01-01-2007,21-06-2012,21-06-2012,0
JetSetGo,Travel,-,operating,IND,New Delhi,1,01-01-2013,23-07-2015,23-07-2015,0
jiffstore,E-Commerce|Groceries|Mobile Commerce|Retail,-,operating,IND,Bangalore,2,25-10-2013,01-05-2014,17-06-2015,0
Jigsee,Advertising|Emerging Markets|Mobile|Mobile Video|Video Streaming,-,acquired,IND,Mumbai,2,17-04-2008,19-07-2010,14-02-2011,2
Jiyo Natural,,-,operating,IND,Bangalore,1,01-03-2014,21-10-2015,21-10-2015,0
Jobspire,Software,262000,operating,IND,Bengaluru,1,01-01-2014,02-09-2015,02-09-2015,0
JoGuru,Travel,3200000,operating,IND,Pune,2,01-09-2011,05-10-2010,27-04-2015,0
Jolly Food Fellow,Information Technology,300000,operating,IND,Gujrat,1,01-01-2015,24-08-2015,24-08-2015,0
Jombay,Analytics,-,operating,IND,Pune,1,01-01-2010,27-10-2015,27-10-2015,0
Joognu,Curated Web|Gift Card|Kids|Parenting,100000,operating,IND,Ahmedabad,1,15-08-2011,01-01-2013,01-01-2013,0
Joybynature,Organic,1000000,operating,IND,New Delhi,1,01-01-2013,21-07-2015,21-07-2015,0
Juggernaut,Publishing,2200000,operating,IND,New Delhi,1,01-09-2015,23-09-2015,23-09-2015,0
JUGNOO,Apps|Social Business|Software,8000000,operating,IND,Chandigarh,2,01-11-2014,05-06-2015,17-11-2015,0
Just Dial,Local Search|Search,67000000,closed,IND,Mumbai,2,14-11-1997,06-06-2011,27-06-2012,1
JustRide,Cars,3000000,operating,IND,Mumbai,2,01-04-2015,04-08-2015,27-11-2015,0
K-12 Techno Services,EdTech|Education,15000000,operating,IND,Secunderabad,2,,08-09-2010,01-11-2012,0
K2 Learning,EdTech|Education,1300000,operating,IND,Bangalore,1,11-01-2009,18-10-2013,18-10-2013,0
Kae Capital,Finance,-,operating,IND,Mumbai,1,01-01-2010,26-04-2012,26-04-2012,0
Kalyan Jewellers,Jewelry,200000000,operating,IND,,1,01-01-1993,26-08-2014,26-08-2014,0
Kampey,Credit Cards|Payments|Rental Housing,14050,operating,IND,Kolkata,2,01-01-2015,17-08-2015,28-09-2015,0
Kapsica Media,Advertising,-,operating,IND,Pune,1,01-09-2011,11-03-2014,11-03-2014,0
Karadi Path,Education,2300000,operating,IND,Adyar,1,01-01-2010,17-11-2015,17-11-2015,0
Karma Recycling,Software,-,operating,IND,New Delhi,2,01-01-2012,09-10-2013,15-06-2015,0
KarmYog Media,News,-,operating,IND,Kolkata,1,,19-03-2014,19-03-2014,0
KartRocket,E-Commerce|SaaS,2000000,operating,IND,New Delhi,2,01-01-2012,23-07-2013,21-10-2014,0
Ketto,Curated Web,850000,operating,IND,Mumbai,2,15-08-2012,18-11-2013,15-07-2015,0
Keyideas Infotech Private Limited,Android|E-Commerce|Enterprise Software|iOS|Mobile Commerce|Mobile Enterprise|Mobile Shopping|Software|Web Design|Web Development,1000000,operating,IND,New Delhi,1,01-01-2009,10-01-2013,10-01-2013,0
KeyOwner,Infrastructure Builders|Local Search|Price Comparison|Real Estate,-,operating,IND,Pune,1,21-03-2014,21-03-2014,21-03-2014,0
Kin housing,Investment Management|Professional Services|Real Estate,300000,closed,IND,Bangalore,1,19-11-2013,25-11-2013,25-11-2013,1
KiwiQA Services,Software|Software Compliance,50000,operating,IND,Ahmadabad,1,05-05-2009,10-09-2014,10-09-2014,0
Kizora Software,Health Care,100000,operating,IND,Nagpur,1,01-01-2011,04-09-2015,04-09-2015,0
Kleeto,Education,229000,operating,IND,Haryana,1,,30-10-2015,30-10-2015,0
KleverKid,Education|Marketplaces|Parenting|Service Providers,450000,operating,IND,Delhi,2,10-11-2014,08-05-2015,26-11-2015,0
Klozee,E-Commerce|Retail,-,operating,IND,Bengaluru,1,01-01-2015,06-08-2015,06-08-2015,0
Knimbus,Messaging,500000,operating,IND,Gurgaon,1,01-06-2010,04-07-2013,04-07-2013,0
Knit,Apps,-,operating,IND,,1,,21-01-2015,21-01-2015,0
Knottykart,E-Commerce,160000,operating,IND,Noida,1,,04-02-2014,04-02-2014,0
Knowlarity Communications,Cloud Computing|Emerging Markets|SaaS|Small and Medium Businesses|Software|Telephony,22500000,operating,IND,Gurgaon,3,17-08-2009,01-01-2011,28-07-2014,0
Komli Media,Advertising|Analytics|Media,97000000,operating,IND,Mumbai,5,01-10-2006,01-01-2008,24-10-2013,0
Konotor,Apps,155000,operating,IND,Chennai,2,01-08-2013,01-02-2014,26-05-2014,0
Kontent Cafe,Content Creators|Crowdsourcing|Marketplaces,200000,operating,IND,New Delhi,1,27-09-2013,25-10-2013,25-10-2013,0
Korra,New Product Development|Product Design|Sales and Marketing,300000,operating,IND,New Delhi,1,01-08-2013,22-09-2015,22-09-2015,0
koshimbir.com - an online and in-store marketplace that connects retail and consumer merchandise,E-Commerce|Marketplaces,1669,operating,IND,Pune,1,01-04-2014,01-04-2014,01-04-2014,0
Kotak Urja,Clean Technology,8000000,operating,IND,Bangalore,1,01-01-1997,10-11-2008,10-11-2008,0
KountMoney,Banking|Financial Services|Marketplaces,-,operating,IND,Bengaluru,1,13-10-2015,26-11-2015,26-11-2015,0
Krishidhan Seeds,Biotechnology,30000000,operating,IND,Jalna,1,,07-05-2010,07-05-2010,0
KSK Power Venture,Clean Technology,97430000,operating,IND,Hyderabad,1,,16-06-2008,16-06-2008,0
Kuliza,Apps|Communities|Facebook Applications|Mobile|Social Commerce|Social CRM|Social Media Marketing|Software,-,operating,IND,Bangalore,1,01-09-2006,29-08-2013,29-08-2013,0
Kulzy,Internet Marketing,1000000,operating,IND,Delhi,1,01-10-2014,09-10-2015,09-10-2015,0
Kustom Codes,Graphics|Mobile,100000,operating,IND,Ahmedabad,2,24-08-2011,06-10-2014,13-10-2014,0
Kwaab,E-Commerce,-,operating,IND,Gurgaon,1,,19-02-2013,19-02-2013,0
La Renon,Pharmaceuticals,16000000,operating,IND,Ahmedabad,1,01-01-2007,12-06-2015,12-06-2015,0
Labinapp,Apps,100000,operating,IND,Hubli,1,01-01-2014,24-06-2015,24-06-2015,0
LabourNet,Social Media,-,operating,IND,Bangalore,1,01-01-2008,18-12-2013,18-12-2013,0
LabsAdvisor,Health Care,183000,operating,IND,New Delhi,1,01-01-2015,20-08-2015,20-08-2015,0
LabStreet,Internet,150000,operating,IND,Gurgaon,1,01-01-2015,17-09-2015,17-09-2015,0
Langhar,Consumer Goods|Cooking|Internet,110000,closed,IND,Delhi,2,01-08-2013,03-09-2013,23-12-2013,1
Laundrywala,All Students|Clean Technology|Hotels|Service Providers,59000,operating,IND,Noida,1,01-01-2014,11-12-2014,11-12-2014,0
Laurus Labs,Pharmaceuticals,90000000,operating,IND,Hyderabad,1,01-01-2005,30-10-2014,30-10-2014,0
LazyLad,Apps|Local Based Services|Local Businesses,500000,operating,IND,Gurgaon,1,22-11-2014,31-07-2015,31-07-2015,0
Leaf Wearables,Consumers|Wearables,-,operating,IND,New Delhi,1,02-02-2015,28-01-2015,28-01-2015,0
LeanPort Software Pvt Ltd,Internet Marketing|Mobile|Software|Web Development,200000,operating,IND,Noida,1,04-05-2011,18-11-2015,18-11-2015,0
Leaping Caravan,Food Processing,150000,operating,IND,Gurgaon,1,,23-10-2015,23-10-2015,0
Learnhive,EdTech|Education,400000,operating,IND,Bangalore,1,08-12-2010,29-05-2013,29-05-2013,0
Learnpedia Edutech Solutions,EdTech|Education,-,operating,IND,Hyderabad,1,,10-02-2013,10-02-2013,0
Lendingkart,Financial Services,10000000,operating,IND,Ahmedabad,1,01-01-2014,08-07-2015,08-07-2015,0
Lenskart.com,Consumer Goods|Eyewear|Online Shopping,35900000,operating,IND,New Delhi,3,01-01-2010,01-10-2011,02-01-2015,0
Let's Recycle,Recycling|Services|Waste Management,2000000,operating,IND,Ahmedabad,1,,01-05-2015,01-05-2015,0
LetsBuy.com,Consumer Electronics|E-Commerce,6000000,acquired,IND,Haryana,1,01-01-2009,18-01-2011,18-01-2011,2
letsmote.com,Social Media,80000,operating,IND,Mumbai,1,05-05-2013,03-03-2012,03-03-2012,0
Letsplanevent.com,E-Commerce|Event Management|Events,-,operating,IND,New Delhi,1,20-12-2014,13-04-2015,13-04-2015,0
LetsTransport,Transportation,1300000,operating,IND,Bangalore,1,,04-08-2015,04-08-2015,0
Liases Foras,Real Estate,5000000,operating,IND,Mumbai,1,01-01-1999,07-07-2015,07-07-2015,0
Lifeblob,Photo Sharing|Social Media,1000000,acquired,IND,Bangalore,1,,14-08-2008,14-08-2008,2
Xcode Life Sciences,Biotechnology|Diabetes,200000,operating,IND,Chennai,1,01-01-2010,26-07-2013,26-07-2013,0
LimeRoad,E-Commerce|Social Media,50000000,operating,IND,Gurgaon,3,01-01-2012,23-10-2012,30-03-2015,0
LimeTray,Business Development|Internet Marketing|Local Businesses,-,operating,IND,New Delhi,1,01-01-2013,01-10-2014,01-10-2014,0
Linkstreet Learning,Education,-,operating,IND,Bangalore,1,01-01-2011,12-12-2014,12-12-2014,0
LinQMart,Advertising|Brand Marketing|Local Search|Real Time,20000,operating,IND,Bangalore City,2,,31-08-2014,02-10-2014,0
LIQVID,Education,3000000,operating,IND,Noida,1,01-01-2002,01-08-2012,01-08-2012,0
Little,Local Businesses,50000000,operating,IND,Bangalore,1,29-07-2015,29-07-2015,29-07-2015,0
Little Eye Labs,Android|Mobile|Testing,-,acquired,IND,Bangalore,1,01-06-2012,01-06-2013,01-06-2013,2
Livares Technologies Pvt Ltd,Android|Big Data|Embedded Hardware and Software|iOS|Software|Web Development,-,operating,IND,Trivandrum,1,17-08-2012,01-08-2015,01-08-2015,0
Liversy,Entrepreneur|Mobile|Startups,25000,operating,IND,Chandigarh,1,27-05-2014,27-05-2014,27-05-2014,0
LivQuik,Mobile|Payments,1600000,operating,IND,Mumbai,2,04-07-2012,05-08-2013,17-07-2015,0
Livspace,Interior Design,12600000,operating,IND,Bangalore,2,01-01-2012,17-12-2014,11-08-2015,0
Loanbaba.com,Financial Services,320000,operating,IND,Mumbai,1,01-01-2015,03-11-2015,03-11-2015,0
LocalBanya,Curated Web,5000000,operating,IND,Mumbai,1,01-05-2012,09-01-2014,09-01-2014,0
LocalOye,Curated Web,5000000,operating,IND,Mumbai,1,01-01-2013,14-04-2015,14-04-2015,0
LogicLadder,Manufacturing,275000,operating,IND,Gurgaon,1,01-05-2011,05-02-2014,05-02-2014,0
Logicserve Digital,Digital Media|Internet|Internet Marketing,500000,operating,IND,Mumbai,1,01-01-2006,16-06-2015,16-06-2015,0
LogiNext Solutions,Analytics|Big Data Analytics|Data Visualization|Logistics,10600000,operating,IND,Mumbai,2,07-10-2014,07-04-2015,22-09-2015,0
Lookup,Chat,5882000,operating,IND,Bangalore,3,,05-01-2015,14-10-2015,0
LOVE BUDDIES,Events|Web Hosting|Weddings,-,closed,IND,,1,01-06-2013,25-05-2015,25-05-2015,1
Loylty Rewardz Management,Advertising,4400000,operating,IND,Mumbai,1,,03-10-2011,03-10-2011,0
Lucid Colloids,Finance|Market Research|News|Publishing,28000000,operating,IND,Gurgaon,2,,03-09-2014,10-09-2014,0
LUMINOUS,Consumer Electronics|Manufacturing|Water|Water Purification,16000000,operating,IND,Haryana,1,18-11-2012,19-12-2014,19-12-2014,0
LurnQ,Education,-,operating,IND,Mumbai,1,22-03-2011,02-06-2012,02-06-2012,0
Lybrate,Health and Wellness,11430040,operating,IND,New Delhi,3,01-01-2013,10-09-2014,11-09-2015,0
M-Taxi,,-,operating,IND,Gurgaon,1,,30-11-2015,30-11-2015,0
Maal-Gaadi,Transportation,250000,operating,IND,Indore,1,,01-02-2015,01-02-2015,0
MadRat Games,Games,2470295,operating,IND,Bangalore,3,21-01-2010,10-12-2012,30-07-2015,0
MagicRooms Solutions India (P)Ltd.,Travel,1490000,closed,IND,Bangalore,1,,07-07-2010,07-07-2010,1
Magnet,Events|Startups|Technology,50000,operating,IND,Ahmedabad,1,10-08-2014,01-04-2015,01-04-2015,0
Maharana Infrastructure and Professional Services Private Limited (MIPS),Education|Infrastructure|Universities,21600000,operating,IND,Noida,3,,01-04-2011,10-07-2014,0
Mahindra First Choice,Cars|Retail|Services,15000000,operating,IND,,1,02-08-2007,20-03-2015,20-03-2015,0
Mahindra REVA,Automotive,45000000,operating,IND,Bangalore,3,01-01-1994,14-12-2006,01-09-2009,0
Maiyas Beverages And Foods,Food Processing|Manufacturing|Specialty Foods,16600000,operating,IND,Bangalore,1,01-01-1988,05-04-2014,05-04-2014,0
makemyreturns.com,Finance|Taxis,-,operating,IND,Mumbai,1,01-04-2012,01-01-2012,01-01-2012,0
MakeMyTrip.com,Transportation|Travel,28000000,ipo,IND,Gurgaon,2,01-01-2000,14-12-2006,08-10-2007,2
Mamagoto,Food Processing,10000000,operating,IND,New Delhi,1,01-01-2010,13-07-2015,13-07-2015,0
Manas Informatic,Media|News,160000,operating,IND,Mohali,1,05-05-2007,02-02-2008,02-02-2008,0
Mango Games,Games,-,operating,IND,Hyderabad,1,01-01-2011,14-02-2014,14-02-2014,0
Manipal Acunova,Biotechnology,-,operating,IND,Bangalore,1,,02-12-2009,02-12-2009,0
Manthan Software Services,Analytics|Business Services,60000000,operating,IND,Bangalore City,1,01-01-2004,04-02-2015,04-02-2015,0
Manthan Systems,Analytics|Big Data Analytics|Business Intelligence|Market Research,56700000,operating,IND,Bangalore,7,01-01-2003,01-03-2007,20-03-2015,0
Mapmygenome India Limited,Health and Wellness|Health Diagnostics,1123603,operating,IND,Hyderabad,1,28-08-2012,06-03-2015,06-03-2015,0
MapMyIndia,E-Commerce,-,acquired,IND,New Delhi,1,01-01-1992,01-01-2007,01-01-2007,2
Maruti 3PL,E-Commerce,40000,operating,IND,Bardoli,1,,10-12-2013,10-12-2013,0
MassBlurb,E-Commerce,-,operating,IND,Mumbai,1,,13-08-2015,13-08-2015,0
Master Equation,Android|Big Data|Cloud Computing|iPhone|Mobile|Software|Web Development|Web Tools,50000,operating,IND,Pune,1,12-02-2010,15-02-2013,15-02-2013,0
Matrimony.com,Classifieds|Curated Web,20400000,operating,IND,Chennai,2,14-04-1997,02-08-2006,06-02-2008,0
Mayur Uniquoters Limited,Manufacturing,18000000,operating,IND,Jaipur,1,01-01-1994,19-03-2014,19-03-2014,0
Meal Mantra,Hospitality,10000,operating,IND,Hyderabad,1,14-01-2014,14-01-2014,14-01-2014,0
MealHopper,Food Processing,100000,operating,IND,Gurgaon,1,01-01-2015,20-10-2015,20-10-2015,0
Mealnut,E-Commerce|Hospitality|Marketplaces,12000,operating,IND,Pune,1,01-09-2012,01-09-2012,01-09-2012,0
Medd,Delivery|Health Care|Hospitals,150000,closed,IND,Mumbai,2,13-05-2015,01-07-2015,23-10-2015,1
DailyRounds,Doctors|Health Care|Pharmaceuticals,500000,operating,IND,Bangalore,3,01-01-2013,22-07-2013,12-03-2015,0
Medgenome Labs,Health Care|Hospitals|Medical,24000000,operating,IND,Bangalore,2,01-01-2013,04-06-2014,22-07-2015,0
Media Redefined,Information Technology|Media|News|Social News,4475000,operating,IND,Noida,2,01-01-2009,14-01-2014,02-05-2014,0
MediAngels,Delivery|Hospitality,1000000,operating,IND,Mumbai,1,,10-10-2014,10-10-2014,0
Medikoe,Health Care,100000,operating,IND,Bangalore,1,,23-11-2015,23-11-2015,0
Medine,Consumers|Mobile|Restaurants,60000,operating,IND,Bengaluru,1,,22-07-2013,22-07-2013,0
Medinfi,Health and Wellness,301953,operating,IND,Bangalore,1,01-01-2014,20-11-2015,20-11-2015,0
Medioctor,Big Data|Health Care|Health Care Information Technology|Internet|Mobile,120000,operating,IND,Bhubaneswar,1,20-02-2014,20-02-2015,20-02-2015,0
Meditrina Hospital,Hospitality,6000000,operating,IND,Thiruvananthapuram,1,22-03-2010,05-09-2013,05-09-2013,0
Medwell Ventures,Health Care|Healthcare Services,10000000,operating,IND,Bangalore,1,01-01-2014,03-06-2015,03-06-2015,0
Medypal,Health Care,400000,operating,IND,Bangalore,1,01-01-2013,08-01-2014,08-01-2014,0
MeetUniv,Analytics|Apps|Education|SaaS,950000,operating,IND,New Delhi,1,15-03-2010,19-05-2015,19-05-2015,0
meracareerguide.com,EdTech|Education,-,operating,IND,Noida,1,09-09-2009,18-06-2015,18-06-2015,0
MeraEvents,Events|Technology|Ticketing,2200000,operating,IND,Hyderabad,3,30-03-2012,30-03-2012,05-05-2015,0
MeraJob India,Human Resources|Information Technology|Internet|Recruiting,3000000,operating,IND,New Delhi,1,01-08-2012,10-02-2014,10-02-2014,0
meritnation.com,Education|K-12 Education|Online Education,4000000,operating,IND,New Delhi,1,10-04-2009,01-06-2015,01-06-2015,0
Meru Cabs,Automotive|Public Transportation,50000000,operating,IND,Mumbai,1,,16-03-2015,16-03-2015,0
Metaome,Biotechnology,-,operating,IND,Bangalore,1,,09-09-2013,09-09-2013,0
Metro Telworks,Mobile,4880000,operating,IND,Ahmedabad,1,01-01-2004,05-01-2010,05-01-2010,0
Metropolis Healthcare,Hospitals,-,operating,IND,Mumbai,1,01-01-1981,09-09-2015,09-09-2015,0
Mettl,Skill Assessment|Software|Testing,4430000,operating,IND,Gurgaon,3,24-09-2009,30-08-2010,13-08-2012,0
mGaadi,E-Commerce|Online Scheduling|Price Comparison|Public Transportation,-,operating,IND,Kormangala,1,,12-05-2014,12-05-2014,0
mGinger.com,Business Development|Messaging|Subscription Service,2000000,acquired,IND,Bangalore,1,,29-11-2007,29-11-2007,2
Micro Housing Finance Corporation Limited,Finance,5400000,operating,IND,Mumbai,1,16-05-2008,16-09-2013,16-09-2013,0
Microland,Analytics,18300000,operating,IND,Bangalore,2,01-01-1989,14-01-2005,09-08-2006,0
Micromax Informatics,Mobile,88000000,operating,IND,Gurgaon,2,01-01-1991,12-01-2010,20-09-2010,0
mii - made in india,Bridging Online and Offline|Internet|Marketplaces,250000,operating,IND,New Delhi,1,10-08-2014,10-08-2014,10-08-2014,0
Milk Mantra,Health and Wellness,13080000,operating,IND,Bhubaneswar,2,,02-02-2011,30-06-2014,0
Minglebox,Social Media,7000000,operating,IND,Bangalore,1,01-01-2006,01-05-2007,01-05-2007,0
MistLayer,Enterprise Hardware|Enterprise Software,62000,operating,IND,Kochi,2,01-11-2012,10-12-2012,10-02-2014,0
Mistral Solutions,Aerospace|Defense|Embedded Hardware and Software|Homeland Security|Product Development Services,6500000,operating,IND,Bangalore,1,01-01-1997,06-02-2008,06-02-2008,0
Mobi Healthcare,Biotechnology|Business Analytics|Enterprise Software|Healthcare Services|Information Technology|Marketplaces|Pharmaceuticals|SaaS,-,operating,IND,Mumbai,1,01-01-2015,01-01-2015,01-01-2015,0
